timestamps,STATE,CAN2.gnss_pos.Latitude,CAN2.gnss_pos.Longitude,x_coord,y_coord,CAN1.TSC1.EngnRqstdTrqTrqLmt,CAN1.IC1.EngineIntakeManifold1Pressure,CAN1.EEC1.EngineSpeed,CAN1.IC1.EngnIntkMnfld1Tmprtr,CAN1.FD1.FanSpeed,CAN1.VEP1.BatteryPotentialPowerInput1,CAN2.TSC1.EngnRqstdTrqTrqLmt_3,CAN1.EEC3.EnginesDesiredOperatingSpeed,CAN2.TSC1.EngnRqstdTrqTrqLmt_0,CAN1.EEC3.Aftrtrtmnt1ExhstGsMssFlwRt,CAN1.EFLP1.EngineOilPressure1,CAN1.VEP1.KeySwitchBatteryPotential,CAN1.IC1.EngineIntakeAirPressure,CAN1.EEC1.EngineDemandPercentTorque,CAN1.EEC1.ActualEnginePercentTorque,CAN1.EEC2.EnginePercentLoadAtCurrentSpeed,CAN1.EEC3.NominalFrictionPercentTorque,CAN1.EEC1.AtlEngnPrntTrqFrtnl,CAN1.LFE1.EngineInstantaneousFuelEconomy,CAN1.CCVS1.WheelBasedVehicleSpeed,CAN2.gnss_speed.Speed,CAN1.EEC2.AtlMxmmAvllEngnPrntTrq,CAN1.A1SCRDSI1.Atttt1DsExstFdAtDsQtt,CAN1.LFE1.EngineFuelRate,CAN1.FD1.EngineFan1EstimatedPercentSpeed,CAN2.gnss_attitude.Heading,class_label,anomaly_label
2023-10-23 06:51:22,I,45.350956,11.951412,3985687.678034682,13887961.480232049,39.7281333,75.5220910307168,0.0,61.38568845,0.0,12.92699837,59.0,1000.0,-68.0,0.0,96.30854871,12.92699837,47.01179097457563,1.0635355116984135,0.0,0,6.0,0.0,125.4980469,0.0,0.004291681,0.0,0.0,0.0,0.0,279.2,I,1
2023-10-23 06:51:23,I,45.350956,11.951412,3985687.678034682,13887961.480232049,39.71877013,90.62287818366964,0.0,61.38680071,0.0,12.92707623,59.0,1000.0,-68.0,0.0,96.30943852,12.92707623,84.24391211160554,5.241237714433041,0.0,0,6.0,0.0,125.4980469,0.0,0.005799615,0.0,0.0,0.0,0.0,279.2,I,1
2023-10-23 06:51:24,I,45.350956,11.95141172,3985687.698619384,13887961.46554668,39.70940696,0.9990877612776845,0.0,61.38791298,0.0,12.92715409,59.0,1000.0,-68.0,0.0,96.31032833,12.92715409,24.20166040554631,1.3922005955793582,0.0,0,6.0,0.0,125.4980469,0.0,0.006610272,0.0,0.0,0.0,0.0,279.2,I,1
2023-10-23 06:51:25,I,45.350956,11.951411,3985687.751551471,13887961.427784286,39.70004379,23.22334481249803,0.0,61.38902524,0.0,12.92723195,59.0,1000.0,-68.0,0.0,96.31121814,12.92723195,73.97082134637687,6.469909523991703,0.0,0,6.0,0.0,125.4980469,0.0,0.00271612,0.0,0.0,0.0,0.0,279.2,I,1
2023-10-23 06:51:26,I,45.350956,11.951411,3985687.751551471,13887961.427784286,39.69068063,40.631216729594975,0.0,61.3901375,0.0,12.92730981,59.0,1000.0,-68.0,0.0,96.31210795,12.92730981,2.9872426265607563,7.547229806136441,0.0,0,6.0,0.0,125.4980469,0.0,0.002573031,0.0,0.0,0.0,0.0,279.2,I,1
2023-10-23 06:51:27,I,45.350956,11.951411,3985687.751551471,13887961.427784286,39.68131746,76.64323017828646,0.0,61.39124976,0.0,12.92738767,59.0,1000.0,-68.0,0.0,96.31299776,12.92738767,41.61230890840465,5.124286730249495,0.0,0,6.0,0.0,125.4980469,0.0,0.005171581,0.0,0.0,0.0,0.0,279.2,I,1
2023-10-23 06:51:28,I,45.350956,11.951411,3985687.751551471,13887961.427784286,39.67195429,81.67387340289969,0.0,61.39236203,0.0,12.92746552,59.0,1000.0,-68.0,0.0,96.31388758,12.92746552,21.646966472303152,2.115909401371253,0.0,0,6.0,0.0,125.4980469,0.0,0.00615301,0.0,0.0,0.0,0.0,279.2,I,1
2023-10-23 06:51:29,I,45.350956,11.9514107,3985687.7736065057,13887961.412049957,39.66259112,50.62030819407714,0.0,61.39347429,0.0,12.92754338,59.0,1000.0,-68.0,0.0,96.31477739,12.92754338,47.17621838468823,8.765878020082372,0.0,0,6.0,0.0,125.4980469,0.0,0.003815487,0.0,0.0,0.0,0.0,279.2,I,1
2023-10-23 06:51:30,I,45.350956,11.95141,3985687.825068257,13887961.37533652,39.65322796,92.7505228401473,0.0,61.39458655,0.0,12.92762124,59.0,1000.0,-68.0,0.0,96.3156672,12.92762124,19.951852379701855,4.2888010432645345,0.0,0,6.0,0.0,125.4980469,0.0,0.006878012,0.0,0.0,0.0,0.0,279.2,I,1
2023-10-23 06:51:31,I,45.350956,11.95141,3985687.825068257,13887961.37533652,39.64386479,65.8488834896352,0.0,61.39569882,0.0,12.9276991,59.0,1000.0,-68.0,0.0,96.31655701,12.9276991,58.087171300843934,2.5569256774942604,0.0,0,6.0,0.0,125.4980469,0.0,0.004,0.0,0.0,0.0,0.0,279.2,I,1
